bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
526,resident,developer,748.01,3011.01,6.0,24.15,124.7,0.6686
679,resident,developer,792.81,3191.36,6.0,24.15,132.1,0.6686
687,resident,developer,892.5,3592.65,6.0,24.15,148.8,0.6686
806,resident,developer,5045.03,20308.11,6.0,24.15,840.8,0.6686
203,resident,developer,1358.13,5466.99,6.0,24.15,226.4,0.6615
738,resident,developer,4973.4,20019.75,6.0,24.15,828.9,0.6615
34,resident,developer,15962.53,32127.55,12.0,24.15,1330.2,0.5444
44,resident,developer,12458.09,25074.21,12.0,24.15,1038.2,0.5444
79,resident,developer,8774.16,17659.61,12.0,24.15,731.2,0.5444
80,resident,developer,1229.06,2473.72,12.0,24.15,102.4,0.5444
96,resident,developer,1907.7,3839.6,12.0,24.15,159.0,0.5444
102,resident,developer,3400.11,6843.34,12.0,24.15,283.3,0.5444
132,resident,developer,1437.63,2893.49,12.0,24.15,119.8,0.5444
161,resident,developer,1607.62,3235.64,12.0,24.15,134.0,0.5444
164,resident,developer,1439.38,2897.02,12.0,24.15,119.9,0.5444
180,resident,developer,2092.39,4211.31,12.0,24.15,174.4,0.5444
182,resident,developer,2114.49,4255.81,12.0,24.15,176.2,0.5444
237,resident,developer,2557.06,5146.55,12.0,24.15,213.1,0.5444
238,resident,developer,2665.01,5363.83,12.0,24.15,222.1,0.5444
239,resident,developer,14504.55,29193.08,12.0,24.15,1208.7,0.5444
254,resident,developer,2953.96,5945.38,12.0,24.15,246.2,0.5444
302,resident,developer,877.96,1767.05,12.0,24.15,73.2,0.5444
397,resident,developer,1122.83,2259.91,12.0,24.15,93.6,0.5444
414,resident,developer,1964.31,3953.53,12.0,24.15,163.7,0.5444
421,resident,developer,3346.79,6736.02,12.0,24.15,278.9,0.5444
435,resident,developer,4608.89,9276.24,12.0,24.15,384.1,0.5444
436,resident,developer,2747.15,5529.14,12.0,24.15,228.9,0.5444
437,resident,developer,3495.18,7034.7,12.0,24.15,291.3,0.5444
438,resident,developer,2139.74,4306.62,12.0,24.15,178.3,0.5444
443,resident,developer,20939.74,42145.09,12.0,24.15,1745.0,0.5444
447,resident,developer,2216.63,4461.37,12.0,24.15,184.7,0.5444
452,resident,developer,3023.26,6084.88,12.0,24.15,251.9,0.5444
456,resident,developer,3191.53,6423.54,12.0,24.15,266.0,0.5444
457,resident,developer,3935.82,7921.57,12.0,24.15,328.0,0.5444
464,resident,developer,5786.93,11647.26,12.0,24.15,482.2,0.5444
475,resident,developer,1966.14,3957.22,12.0,24.15,163.8,0.5444
476,resident,developer,4658.03,9375.14,12.0,24.15,388.2,0.5444
485,resident,developer,6159.79,12397.72,12.0,24.15,513.3,0.5444
515,resident,developer,3926.6,7903.01,12.0,24.15,327.2,0.5444
517,resident,developer,3697.86,7442.63,12.0,24.15,308.2,0.5444
532,resident,developer,4860.79,9783.24,12.0,24.15,405.1,0.5444
551,resident,developer,9184.53,18485.56,12.0,24.15,765.4,0.5444
560,resident,developer,3955.59,7961.35,12.0,24.15,329.6,0.5444
562,resident,developer,8336.97,16779.69,12.0,24.15,694.7,0.5444
567,resident,developer,3460.14,6964.17,12.0,24.15,288.3,0.5444
608,resident,developer,1737.35,3496.74,12.0,24.15,144.8,0.5444
613,resident,developer,8305.38,16716.12,12.0,24.15,692.1,0.5444
616,resident,developer,3409.06,6861.37,12.0,24.15,284.1,0.5444
617,resident,developer,3403.43,6850.03,12.0,24.15,283.6,0.5444
618,resident,developer,764.44,1538.57,12.0,24.15,63.7,0.5444
634,resident,developer,7103.6,14297.3,12.0,24.15,592.0,0.5444
637,resident,developer,2946.37,5930.12,12.0,24.15,245.5,0.5444
643,resident,developer,5128.44,10321.93,12.0,24.15,427.4,0.5444
673,resident,developer,7436.5,14967.32,12.0,24.15,619.7,0.5444
681,resident,developer,1850.86,3725.21,12.0,24.15,154.2,0.5444
682,resident,developer,2353.96,4737.78,12.0,24.15,196.2,0.5444
683,resident,developer,8910.35,17933.72,12.0,24.15,742.5,0.5444
686,resident,developer,4445.94,8948.27,12.0,24.15,370.5,0.5444
694,resident,developer,4648.71,9356.38,12.0,24.15,387.4,0.5444
695,resident,developer,7468.26,15031.26,12.0,24.15,622.4,0.5444
706,resident,developer,5405.89,10880.36,12.0,24.15,450.5,0.5444
710,resident,developer,5462.89,10995.08,12.0,24.15,455.2,0.5444
711,resident,developer,7147.0,14384.67,12.0,24.15,595.6,0.5444
712,resident,developer,7593.15,15282.62,12.0,24.15,632.8,0.5444
713,resident,developer,9906.49,19938.64,12.0,24.15,825.5,0.5444
748,resident,developer,3557.18,7159.47,12.0,24.15,296.4,0.5444
783,resident,developer,9868.8,19862.79,12.0,24.15,822.4,0.5444
790,resident,developer,1216.27,2447.96,12.0,24.15,101.4,0.5444
0,resident,developer,4029.44,8109.99,12.0,24.15,335.8,0.5373
6,resident,developer,1454.18,2926.82,12.0,24.15,121.2,0.5373
7,resident,developer,4437.45,8931.18,12.0,24.15,369.8,0.5373
8,resident,developer,1026.28,2065.57,12.0,24.15,85.5,0.5373
36,resident,developer,13697.86,27569.47,12.0,24.15,1141.5,0.5373
78,resident,developer,20222.41,40701.34,12.0,24.15,1685.2,0.5373
192,resident,developer,938.45,1888.81,12.0,24.15,78.2,0.5373
193,resident,developer,5110.66,10286.15,12.0,24.15,425.9,0.5373
235,resident,developer,1783.31,3589.24,12.0,24.15,148.6,0.5373
264,resident,developer,12017.0,24186.44,12.0,24.15,1001.4,0.5373
270,resident,developer,6423.78,12929.05,12.0,24.15,535.3,0.5373
290,resident,developer,5126.66,10318.35,12.0,24.15,427.2,0.5373
305,resident,developer,5157.85,10381.13,12.0,24.15,429.8,0.5373
320,resident,developer,1905.86,3835.9,12.0,24.15,158.8,0.5373
323,resident,developer,10379.45,20890.57,12.0,24.15,865.0,0.5373
341,resident,developer,5168.8,10403.17,12.0,24.15,430.7,0.5373
342,resident,developer,4592.74,9243.74,12.0,24.15,382.7,0.5373
345,resident,developer,4740.78,9541.7,12.0,24.15,395.1,0.5373
347,resident,developer,4839.6,9740.59,12.0,24.15,403.3,0.5373
473,resident,developer,10017.14,20161.34,12.0,24.15,834.8,0.5373
657,resident,developer,2993.89,6025.76,12.0,24.15,249.5,0.5373
785,resident,developer,13069.49,26304.76,12.0,24.15,1089.1,0.5373
225,resident,developer,2271.65,4572.11,12.0,24.15,189.3,0.5301
227,resident,developer,2249.67,4527.89,12.0,24.15,187.5,0.5301
314,resident,developer,2535.1,5102.36,12.0,24.15,211.3,0.5301
465,resident,developer,6752.62,13590.89,12.0,24.15,562.7,0.5301
604,resident,developer,5411.69,10892.03,12.0,24.15,451.0,0.523
658,resident,developer,3871.72,7792.56,12.0,24.15,322.6,0.523
134,resident,developer,19869.36,31992.61,18.0,28.98,1103.9,0.4823
11,resident,developer,4285.46,5750.18,18.0,24.15,238.1,0.4202
14,resident,developer,3341.84,4484.04,18.0,24.15,185.7,0.4202
15,resident,developer,3105.78,4167.31,18.0,24.15,172.5,0.4202
19,resident,developer,5991.87,8039.83,18.0,24.15,332.9,0.4202
21,resident,developer,17345.4,23273.88,18.0,24.15,963.6,0.4202
23,resident,developer,4351.29,5838.52,18.0,24.15,241.7,0.4202
24,resident,developer,4493.83,6029.78,18.0,24.15,249.7,0.4202
26,resident,developer,3791.52,5087.42,18.0,24.15,210.6,0.4202
39,resident,developer,3407.74,4572.47,18.0,24.15,189.3,0.4202
42,resident,developer,2447.43,3283.93,18.0,24.15,136.0,0.4202
53,resident,developer,7621.29,10226.17,18.0,24.15,423.4,0.4202
76,resident,developer,19210.75,25776.79,18.0,24.15,1067.3,0.4202
77,resident,developer,3701.03,4966.0,18.0,24.15,205.6,0.4202
82,resident,developer,6740.88,9044.85,18.0,24.15,374.5,0.4202
83,resident,developer,7325.53,9829.31,18.0,24.15,407.0,0.4202
99,resident,developer,2419.83,3246.9,18.0,24.15,134.4,0.4202
101,resident,developer,24779.72,33249.18,18.0,24.15,1376.7,0.4202
103,resident,developer,3756.04,5039.82,18.0,24.15,208.7,0.4202
108,resident,developer,16297.42,21867.71,18.0,24.15,905.4,0.4202
110,resident,developer,22456.49,30131.89,18.0,24.15,1247.6,0.4202
115,resident,developer,13349.86,17912.7,18.0,24.15,741.7,0.4202
130,resident,developer,5042.58,6766.08,18.0,24.15,280.1,0.4202
156,resident,developer,3360.93,4509.66,18.0,24.15,186.7,0.4202
157,resident,developer,889.05,1192.91,18.0,24.15,49.4,0.4202
158,resident,developer,1840.79,2469.96,18.0,24.15,102.3,0.4202
160,resident,developer,11863.16,15917.86,18.0,24.15,659.1,0.4202
163,resident,developer,13432.64,18023.77,18.0,24.15,746.3,0.4202
176,resident,developer,3490.02,4682.87,18.0,24.15,193.9,0.4202
179,resident,developer,3138.72,4211.5,18.0,24.15,174.4,0.4202
181,resident,developer,3248.44,4358.72,18.0,24.15,180.5,0.4202
183,resident,developer,3341.75,4483.92,18.0,24.15,185.7,0.4202
184,resident,developer,7912.81,10617.33,18.0,24.15,439.6,0.4202
187,resident,developer,26731.42,35867.94,18.0,24.15,1485.1,0.4202
215,resident,developer,2680.52,3596.69,18.0,24.15,148.9,0.4202
218,resident,developer,4172.95,5599.22,18.0,24.15,231.8,0.4202
220,resident,developer,9786.68,13131.66,18.0,24.15,543.7,0.4202
221,resident,developer,3975.48,5334.26,18.0,24.15,220.9,0.4202
241,resident,developer,2326.54,3121.72,18.0,24.15,129.3,0.4202
243,resident,developer,3163.36,4244.56,18.0,24.15,175.7,0.4202
244,resident,developer,3028.91,4064.16,18.0,24.15,168.3,0.4202
261,resident,developer,2447.5,3284.03,18.0,24.15,136.0,0.4202
268,resident,developer,2864.27,3843.25,18.0,24.15,159.1,0.4202
281,resident,developer,8955.58,12016.51,18.0,24.15,497.5,0.4202
297,resident,developer,2041.34,2739.05,18.0,24.15,113.4,0.4202
308,resident,developer,2595.42,3482.51,18.0,24.15,144.2,0.4202
339,resident,developer,2886.26,3872.76,18.0,24.15,160.3,0.4202
403,resident,developer,7472.36,10026.33,18.0,24.15,415.1,0.4202
408,resident,developer,4059.58,5447.1,18.0,24.15,225.5,0.4202
410,resident,developer,20656.02,27716.04,18.0,24.15,1147.6,0.4202
411,resident,developer,15364.54,20615.99,18.0,24.15,853.6,0.4202
423,resident,developer,9271.99,12441.06,18.0,24.15,515.1,0.4202
428,resident,developer,3171.03,4254.86,18.0,24.15,176.2,0.4202
431,resident,developer,4202.59,5638.99,18.0,24.15,233.5,0.4202
495,resident,developer,5648.73,7579.41,18.0,24.15,313.8,0.4202
506,resident,developer,10130.64,13593.18,18.0,24.15,562.8,0.4202
509,resident,developer,4202.56,5638.95,18.0,24.15,233.5,0.4202
510,resident,developer,4100.98,5502.65,18.0,24.15,227.8,0.4202
512,resident,developer,4101.14,5502.86,18.0,24.15,227.8,0.4202
513,resident,developer,4164.07,5587.31,18.0,24.15,231.3,0.4202
516,resident,developer,4202.51,5638.88,18.0,24.15,233.5,0.4202
519,resident,developer,5305.39,7118.72,18.0,24.15,294.7,0.4202
521,resident,developer,9308.13,12489.56,18.0,24.15,517.1,0.4202
523,resident,developer,1489.49,1998.58,18.0,24.15,82.7,0.4202
528,resident,developer,4164.09,5587.33,18.0,24.15,231.3,0.4202
531,resident,developer,11927.18,16003.77,18.0,24.15,662.6,0.4202
534,resident,developer,10424.33,13987.25,18.0,24.15,579.1,0.4202
535,resident,developer,2869.15,3849.8,18.0,24.15,159.4,0.4202
536,resident,developer,10500.97,14090.1,18.0,24.15,583.4,0.4202
538,resident,developer,21440.22,28768.27,18.0,24.15,1191.1,0.4202
539,resident,developer,7568.69,10155.59,18.0,24.15,420.5,0.4202
540,resident,developer,27386.03,36746.3,18.0,24.15,1521.4,0.4202
543,resident,developer,41958.47,56299.45,18.0,24.15,2331.0,0.4202
547,resident,developer,14154.29,18992.08,18.0,24.15,786.3,0.4202
549,resident,developer,2337.42,3136.33,18.0,24.15,129.9,0.4202
563,resident,developer,8272.83,11100.4,18.0,24.15,459.6,0.4202
566,resident,developer,5253.42,7048.99,18.0,24.15,291.9,0.4202
571,resident,developer,3829.82,5138.82,18.0,24.15,212.8,0.4202
573,resident,developer,6907.55,9268.48,18.0,24.15,383.8,0.4202
585,resident,developer,24191.83,32460.35,18.0,24.15,1344.0,0.4202
633,resident,developer,4724.3,6339.01,18.0,24.15,262.5,0.4202
636,resident,developer,9009.4,12088.72,18.0,24.15,500.5,0.4202
639,resident,developer,8095.82,10862.89,18.0,24.15,449.8,0.4202
662,resident,developer,12336.35,16552.79,18.0,24.15,685.4,0.4202
663,resident,developer,7664.69,10284.4,18.0,24.15,425.8,0.4202
685,resident,developer,6954.49,9331.47,18.0,24.15,386.4,0.4202
689,resident,developer,1802.35,2418.37,18.0,24.15,100.1,0.4202
698,resident,developer,7381.56,9904.5,18.0,24.15,410.1,0.4202
726,resident,developer,10907.19,14635.15,18.0,24.15,606.0,0.4202
728,resident,developer,6879.91,9231.4,18.0,24.15,382.2,0.4202
729,resident,developer,9700.16,13015.57,18.0,24.15,538.9,0.4202
730,resident,developer,3549.69,4762.94,18.0,24.15,197.2,0.4202
731,resident,developer,7022.57,9422.81,18.0,24.15,390.1,0.4202
782,resident,developer,8638.79,11591.43,18.0,24.15,479.9,0.4202
