bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
1587,resident,developer,1335.02,1335.02,6.0,6.0,222.5,0.7381
1608,resident,developer,782.99,782.99,6.0,6.0,130.5,0.7381
1008,resident,developer,5585.94,5585.94,12.0,12.0,465.5,0.6969
8,resident,developer,2561.76,2561.76,12.0,12.0,213.5,0.6762
39,resident,developer,21535.56,21535.56,12.0,12.0,1794.6,0.6762
41,resident,developer,33143.32,33143.32,12.0,12.0,2761.9,0.6762
88,resident,developer,28740.54,28740.54,12.0,12.0,2395.0,0.6762
443,resident,developer,4260.55,4260.55,12.0,12.0,355.0,0.6762
465,resident,developer,6435.17,6435.17,12.0,12.0,536.3,0.6762
1028,resident,developer,9584.19,9584.19,12.0,12.0,798.7,0.6762
1606,resident,developer,3000.43,3000.43,12.0,12.0,250.0,0.6762
1607,resident,developer,3328.85,3328.85,12.0,12.0,277.4,0.6762
1655,resident,developer,3771.33,3771.33,12.0,12.0,314.3,0.6762
1656,resident,developer,4422.68,4422.68,12.0,12.0,368.6,0.6762
1658,resident,developer,4950.09,4950.09,12.0,12.0,412.5,0.6762
1660,resident,developer,4389.68,4389.68,12.0,12.0,365.8,0.6762
1661,resident,developer,5132.42,5132.42,12.0,12.0,427.7,0.6762
1663,resident,developer,3955.61,3955.61,12.0,12.0,329.6,0.6762
446,resident,developer,4138.39,4138.39,12.0,12.0,344.9,0.6691
1572,resident,developer,3641.35,3641.35,12.0,12.0,303.4,0.6691
2751,resident,developer,543.59,543.59,6.0,6.0,90.6,0.6238
2757,resident,developer,400.36,400.36,6.0,6.0,66.7,0.6238
1832,resident,developer,1333.22,1333.22,6.0,6.0,222.2,0.6167
1491,resident,developer,10261.96,10261.96,18.0,18.0,570.1,0.6143
1493,resident,developer,17703.08,17703.08,18.0,18.0,983.5,0.6143
1494,resident,developer,9497.89,9497.89,18.0,18.0,527.7,0.6143
1647,resident,developer,9243.59,9243.59,18.0,18.0,513.5,0.6143
1665,resident,developer,5758.15,5758.15,18.0,18.0,319.9,0.6143
1666,resident,developer,9193.51,9193.51,18.0,18.0,510.8,0.6143
1668,resident,developer,5716.81,5716.81,18.0,18.0,317.6,0.6143
1669,resident,developer,5708.92,5708.92,18.0,18.0,317.2,0.6143
1789,resident,developer,90036.55,90036.55,18.0,18.0,5002.0,0.6143
1459,resident,developer,1399.44,1399.44,6.0,6.0,233.2,0.6095
1170,resident,developer,15284.91,15284.91,18.0,18.0,849.2,0.6072
1811,resident,developer,20816.75,20816.75,12.0,12.0,1734.7,0.5976
2790,resident,developer,42014.92,42014.92,12.0,12.0,3501.2,0.5976
2837,resident,developer,15455.01,15455.01,12.0,12.0,1287.9,0.5905
2840,resident,developer,74174.68,74174.68,12.0,12.0,6181.2,0.5905
2841,resident,developer,4008.8,4008.8,12.0,12.0,334.1,0.5905
1485,resident,developer,1574.64,1574.64,6.0,6.0,262.4,0.5881
1467,resident,developer,2436.93,2436.93,6.0,6.0,406.2,0.581
1645,resident,developer,11116.91,11116.91,18.0,18.0,617.6,0.5786
1178,resident,developer,25850.91,25850.91,12.0,12.0,2154.2,0.5762
1211,resident,developer,22553.28,22553.28,12.0,12.0,1879.4,0.5762
2282,resident,developer,1256.03,1256.03,6.0,6.0,209.3,0.5738
1657,resident,developer,2487.03,2487.03,12.0,12.0,207.3,0.5619
2734,resident,developer,2699.76,2699.76,12.0,12.0,225.0,0.5619
2750,resident,developer,17123.56,17123.56,12.0,12.0,1427.0,0.5619
2758,resident,developer,8930.1,8930.1,12.0,12.0,744.2,0.5619
2928,resident,developer,11793.89,11793.89,12.0,12.0,982.8,0.5619
1653,resident,developer,4539.57,4539.57,12.0,12.0,378.3,0.5548
1654,resident,developer,4291.61,4291.61,12.0,12.0,357.6,0.5548
1830,resident,developer,6791.5,6791.5,12.0,12.0,566.0,0.5548
2881,resident,developer,11570.94,11570.94,12.0,12.0,964.2,0.5548
1813,resident,developer,4829.37,4829.37,24.0,24.0,201.2,0.5524
808,resident,developer,782.49,782.49,6.0,6.0,130.4,0.5484
927,resident,developer,9934.08,9934.08,12.0,12.0,827.8,0.5476
928,resident,developer,24038.35,24038.35,12.0,12.0,2003.2,0.5476
1119,resident,developer,8985.76,8985.76,12.0,12.0,748.8,0.5476
1530,resident,developer,913.77,913.77,12.0,12.0,76.1,0.5476
1643,resident,developer,1849.6,1849.6,12.0,12.0,154.1,0.5476
2747,resident,developer,31850.84,31850.84,12.0,12.0,2654.2,0.5476
2877,resident,developer,18455.23,18455.23,12.0,12.0,1537.9,0.5476
727,resident,developer,2445.96,2445.96,6.0,6.0,407.7,0.5453
1592,resident,developer,44400.32,44400.32,12.0,12.0,3700.0,0.5405
1980,resident,developer,3637.77,3637.77,12.0,12.0,303.1,0.5405
2315,resident,developer,3859.19,3859.19,12.0,12.0,321.6,0.5405
2739,resident,developer,2378.57,2378.57,12.0,12.0,198.2,0.5405
2834,resident,developer,69154.73,69154.73,12.0,12.0,5762.9,0.5405
2136,resident,developer,26727.56,26727.56,12.0,12.0,2227.3,0.5397
2333,resident,developer,1736.52,1736.52,6.0,6.0,289.4,0.5381
1634,resident,developer,10550.95,10550.95,18.0,18.0,586.2,0.5358
1462,resident,developer,13225.09,13225.09,12.0,12.0,1102.1,0.5334
1529,resident,developer,2535.51,2535.51,12.0,12.0,211.3,0.5334
589,resident,developer,18306.37,18306.37,18.0,18.0,1017.0,0.5286
916,resident,developer,31859.34,31859.34,12.0,12.0,2654.9,0.5262
966,resident,developer,4386.46,4386.46,12.0,12.0,365.5,0.5262
1121,resident,developer,11672.26,11672.26,12.0,12.0,972.7,0.5262
1148,resident,developer,3469.99,3469.99,12.0,12.0,289.2,0.5262
1831,resident,developer,3933.89,3933.89,12.0,12.0,327.8,0.5262
2323,resident,developer,3424.22,3424.22,6.0,6.0,570.7,0.5199
3126,resident,developer,15732.1,15732.1,12.0,12.0,1311.0,0.5191
95,resident,developer,983.34,983.34,6.0,6.0,163.9,0.5167
1152,resident,developer,9573.94,9573.94,12.0,12.0,797.8,0.5119
1972,resident,developer,3703.22,3703.22,12.0,12.0,308.6,0.5119
2271,resident,developer,16304.9,16304.9,12.0,12.0,1358.7,0.5119
463,resident,developer,7197.94,7197.94,12.0,12.0,599.8,0.5048
1153,resident,developer,8583.32,8583.32,12.0,12.0,715.3,0.5048
1172,resident,developer,8430.64,8430.64,12.0,12.0,702.6,0.5048
1974,resident,developer,2445.98,2445.98,12.0,12.0,203.8,0.5048
1979,resident,developer,6300.46,6300.46,12.0,12.0,525.0,0.5048
1981,resident,developer,5365.38,5365.38,12.0,12.0,447.1,0.5048
2731,resident,developer,2832.84,2832.84,12.0,12.0,236.1,0.5048
752,resident,developer,6030.71,6030.71,18.0,18.0,335.0,0.5024
1053,resident,developer,10406.47,10406.47,12.0,12.0,867.2,0.4976
1154,resident,developer,54263.78,54263.78,12.0,12.0,4522.0,0.4976
1976,resident,developer,1924.64,1924.64,12.0,12.0,160.4,0.4976
